disease,feature,k,n_case,n_control,smd_min,smd_max,direction_consistency,smd_REML,se_REML_HK,ci_low,ci_high,p_REML_HK,Q,I2,tau2_REML,accession,fdr_REML_HK
COPD,EPH_RECEPTORS,2,256,131,-0.175687384601928,0.398715325951919,1,0.09704095494100608,0.2868364521612714,-3.5475617320180866,3.7416436419000987,0.7923174666844766,6.286174419518449,84.09207360051894,0.13830711577528404,GSE76925;GSE47460,0.7923174666844766
COPD,ERBB_LIGANDS,2,256,131,-0.321884373616398,-0.0299499889881717,2,-0.14652641853003295,0.14297763564883323,-1.9632295297782976,1.6701766927182315,0.49219661290083117,1.6314398710636637,38.7044525675334,0.014765433227668273,GSE76925;GSE47460,0.6574888961127151
COPD,ERBB_RECEPTORS,2,256,131,-0.513334189173157,0.0937475167764583,1,-0.22266008029394724,0.30326802719880014,-4.076045723817697,3.6307255632298028,0.5968199927833211,7.022378539609434,85.75981066301765,0.15770201206581255,GSE76925;GSE47460,0.6574888961127151
COPD,FGFR_AXIS,2,256,131,-0.440219759947447,0.0148886195620331,1,-0.1941241349880306,0.22679754067336583,-3.075860120444724,2.687611850468663,0.5493177483159383,3.942453057388695,74.63508162447582,0.07660587815612618,GSE76925;GSE47460,0.6574888961127151
COPD,HGF_MET_AXIS,1,111,40,-0.690418164725269,-0.690418164725269,1,-0.690418164725269,,,,,0.0,0.0,0.0,GSE76925,
COPD,IGF_INSR_AXIS,2,256,131,-0.496975143115682,0.0724020169004024,1,-0.19737841020938734,0.28429796792126,-3.8097265966953424,3.4149697762765676,0.6136563030385341,6.148876878034064,83.73686740138919,0.1352889158440488,GSE76925;GSE47460,0.6574888961127151
COPD,JAK_STAT,2,256,131,0.243918852114403,0.359291971130084,2,0.28354006011612015,0.05478487220768002,-0.41256774259982903,0.9796478628320693,0.1215086880016029,0.2537930381648764,0.0,0.0,GSE76925;GSE47460,0.41456242189868137
COPD,PDGFR_KIT_CSF1R,2,256,131,0.115707372899228,0.593164651138352,2,0.3706614612399924,0.2381766108026736,-2.6556593189869755,3.3969822414669606,0.3635961943603025,4.327006248249747,76.88933311791507,0.08711402762959983,GSE76925;GSE47460,0.6059936572671708
COPD,PI3K_AKT,2,256,131,0.0657859401735249,0.11271548355413,2,0.08195262613394472,0.02230097430959701,-0.201408119259967,0.3653133715278564,0.169141612174884,0.04239768442984114,0.0,0.0,GSE76925;GSE47460,0.41456242189868137
COPD,RAS_MAPK,2,256,131,-0.317506308076257,-0.0937979345385743,2,-0.23984729719920145,0.1064990565378336,-1.5930461137783594,1.1133515193799566,0.2660287694151514,0.9598780605900891,0.0,0.0,GSE76925;GSE47460,0.4988039426534089
COPD,RET_ALK_NTRK,2,256,131,0.577080872970195,0.755087117416415,2,0.6923853341061247,0.08502820318491304,-0.38800042391044165,1.772771092122691,0.07779043540063775,0.5845600015619793,0.0,0.0,GSE76925;GSE47460,0.38895217700318874
